portfolioName(string),index(int option),yearMonth(date),ret(float)
Mine,1,2004-05-01T00:00:00.0000000,0.009996769724791237
Mine,2,2004-05-01T00:00:00.0000000,0.009173963728784349
Mine,3,2004-05-01T00:00:00.0000000,0.021139038115790026
Mine,1,2004-06-01T00:00:00.0000000,0.02396473268322938
Mine,2,2004-06-01T00:00:00.0000000,0.017718336259381726
Mine,3,2004-06-01T00:00:00.0000000,0.01975044327117467
Mine,1,2004-07-01T00:00:00.0000000,-0.04999491839776449
Mine,2,2004-07-01T00:00:00.0000000,-0.03546475966734289
Mine,3,2004-07-01T00:00:00.0000000,-0.02999078759104513
Mine,1,2004-08-01T00:00:00.0000000,-0.012738832314721952
Mine,2,2004-08-01T00:00:00.0000000,0.00593181070693427
Mine,3,2004-08-01T00:00:00.0000000,0.008344321915624455
Mine,1,2004-09-01T00:00:00.0000000,0.010874293238890368
Mine,2,2004-09-01T00:00:00.0000000,0.016623999441422982
Mine,3,2004-09-01T00:00:00.0000000,0.027901648712710083
Mine,1,2004-10-01T00:00:00.0000000,0.014850295485739236
Mine,2,2004-10-01T00:00:00.0000000,0.01723290365205905
Mine,3,2004-10-01T00:00:00.0000000,0.01464909048761907
Mine,1,2004-11-01T00:00:00.0000000,0.05563702366175999
Mine,2,2004-11-01T00:00:00.0000000,0.035868068842565104
Mine,3,2004-11-01T00:00:00.0000000,0.046554833174125176
Mine,1,2004-12-01T00:00:00.0000000,0.03321836214142452
Mine,2,2004-12-01T00:00:00.0000000,0.034771512390274886
Mine,3,2004-12-01T00:00:00.0000000,0.027055498505617365
Mine,1,2005-01-01T00:00:00.0000000,-0.03581854178712939
Mine,2,2005-01-01T00:00:00.0000000,-0.02679524651119081
Mine,3,2005-01-01T00:00:00.0000000,-0.01972572174726684
Mine,1,2005-02-01T00:00:00.0000000,0.007598697907399177
Mine,2,2005-02-01T00:00:00.0000000,0.008740159656602353
Mine,3,2005-02-01T00:00:00.0000000,0.05509055651851642
Mine,1,2005-03-01T00:00:00.0000000,-0.020516942188916948
Mine,2,2005-03-01T00:00:00.0000000,-0.015899586321945564
Mine,3,2005-03-01T00:00:00.0000000,-0.018720405902851227
Mine,1,2005-04-01T00:00:00.0000000,-0.032021161965613526
Mine,2,2005-04-01T00:00:00.0000000,-0.0170457232988812
Mine,3,2005-04-01T00:00:00.0000000,-0.04070709638903361
Mine,1,2005-05-01T00:00:00.0000000,0.032640338614285024
Mine,2,2005-05-01T00:00:00.0000000,0.03177041639672824
Mine,3,2005-05-01T00:00:00.0000000,0.044265911041739874
Mine,1,2005-06-01T00:00:00.0000000,0.0013593438852988315
Mine,2,2005-06-01T00:00:00.0000000,-9.225286568164586E-05
Mine,3,2005-06-01T00:00:00.0000000,0.023540857519535767
Mine,1,2005-07-01T00:00:00.0000000,0.04164630146783577
Mine,2,2005-07-01T00:00:00.0000000,0.03144949735516099
Mine,3,2005-07-01T00:00:00.0000000,0.05307034734107188
Mine,1,2005-08-01T00:00:00.0000000,-0.01132296402323138
Mine,2,2005-08-01T00:00:00.0000000,-0.00989954619206385
Mine,3,2005-08-01T00:00:00.0000000,-0.0008015113117189952
Mine,1,2005-09-01T00:00:00.0000000,-0.00044038614321356175
Mine,2,2005-09-01T00:00:00.0000000,0.007445881356578973
Mine,3,2005-09-01T00:00:00.0000000,0.015748184578192232
Mine,1,2005-10-01T00:00:00.0000000,-0.022035670376277256
Mine,2,2005-10-01T00:00:00.0000000,-0.013179399280305447
Mine,3,2005-10-01T00:00:00.0000000,-0.03912310573794266
Mine,1,2005-11-01T00:00:00.0000000,0.027289300406663216
Mine,2,2005-11-01T00:00:00.0000000,0.0384670791667145
Mine,3,2005-11-01T00:00:00.0000000,0.043323680475947764
Mine,1,2005-12-01T00:00:00.0000000,0.010688961577472742
Mine,2,2005-12-01T00:00:00.0000000,-0.007289902836016909
